Fecha,Valor
2009-01-01,621311.0
2009-02-01,604729.0
2009-03-01,573302.0
2009-04-01,556366.0
2009-05-01,541341.0
2009-06-01,526725.0
2009-07-01,506183.0
2009-08-01,484865.0
2009-09-01,473627.0
2009-10-01,460395.0
2009-11-01,451650.0
2009-12-01,446523.0
2010-01-01,443227.0
2010-02-01,439140.0
2010-03-01,431057.0
2010-04-01,424004.0
2010-05-01,421379.0
2010-06-01,422634.0
2010-07-01,426505.0
2010-08-01,434840.0
2010-09-01,442612.0
2010-10-01,451402.0
2010-11-01,451951.0
2010-12-01,454456.0
2011-01-01,460356.0
2011-02-01,466566.0
2011-03-01,477495.0
2011-04-01,485436.0
2011-05-01,505309.0
2011-06-01,523555.0
2011-07-01,542421.0
2011-08-01,560767.0
2011-09-01,572143.0
2011-10-01,581233.0
2011-11-01,588236.0
2011-12-01,599263.0
2012-01-01,609559.0
2012-02-01,615473.0
2012-03-01,625586.0
2012-04-01,636447.0
2012-05-01,656751.0
2012-06-01,673889.0
2012-07-01,685279.0
2012-08-01,706719.0
2012-09-01,715412.0
2012-10-01,723997.0
2012-11-01,723965.0
2012-12-01,726574.0
2013-01-01,737317.0
2013-02-01,743153.0
2013-03-01,753529.0
2013-04-01,764412.0
2013-05-01,779917.0
2013-06-01,797291.0
2013-07-01,810089.0
2013-08-01,811227.0
2013-09-01,819355.0
2013-10-01,827459.0
2013-11-01,819124.0
2013-12-01,814717.0
2014-01-01,818239.0
2014-02-01,818146.0
2014-03-01,815591.0
2014-04-01,809132.0
2014-05-01,812657.0
2014-06-01,816702.0
2014-07-01,818778.0
2014-08-01,810797.0
2014-09-01,804231.0
2014-10-01,819735.0
2014-11-01,818949.0
2014-12-01,816540.0
2015-01-01,821038.0
2015-02-01,822315.0
2015-03-01,822183.0
2015-04-01,826605.0
2015-05-01,844607.0
2015-06-01,854861.0
2015-07-01,858622.0
2015-08-01,856285.0
2015-09-01,867693.0
2015-10-01,874494.0
2015-11-01,879369.0
2015-12-01,881636.0
2016-01-01,897105.0
2016-02-01,904458.0
2016-03-01,918163.0
2016-04-01,926557.0
2016-05-01,947423.0
2016-06-01,952912.0
2016-07-01,960465.0
2016-08-01,952523.0
2016-09-01,953879.0
2016-10-01,956770.0
2016-11-01,957327.0
2016-12-01,945528.0
2017-01-01,954919.0
2017-02-01,954055.0
2017-03-01,955409.0
2017-04-01,952757.0
2017-05-01,966635.0
2017-06-01,963611.0
2017-07-01,969226.0
2017-08-01,966742.0
2017-09-01,971801.0
2017-10-01,975312.0
2017-11-01,971285.0
2017-12-01,974616.0
2018-01-01,974291.0
2018-02-01,978547.0
2018-03-01,995504.0
2018-04-01,1001189.0
2018-05-01,1025310.0
2018-06-01,1035903.0
2018-07-01,1040949.0
2018-08-01,1038578.0
2018-09-01,1043916.0
2018-10-01,1045807.0
2018-11-01,1047188.0
2018-12-01,1051605.0
2019-01-01,1062410.0
2019-02-01,1069060.0
2019-03-01,1086289.0
2019-04-01,1088673.0
2019-05-01,1110967.0
2019-06-01,1117035.0
2019-07-01,1109736.0
2019-08-01,1099454.0
2019-09-01,1085140.0
2019-10-01,1072049.0
2019-11-01,1073957.0
2019-12-01,1068224.0
2020-01-01,1071848.0
2020-02-01,1073448.0
2020-03-01,1091363.0
2020-04-01,1096027.0
2020-05-01,1116415.0
2020-06-01,1129739.0
2020-07-01,1141703.0
2020-08-01,1175787.0
2020-09-01,1182556.0
2020-10-01,1179009.0
2020-11-01,1159024.0
2020-12-01,1149960.0
2021-01-01,1154463.0
2021-02-01,1141584.0
2021-03-01,1147575.0
2021-04-01,1158965.0
2021-05-01,1212880.0
2021-06-01,1232144.0
2021-07-01,1252465.0
2021-08-01,1264037.0
2021-09-01,1289316.0
2021-10-01,1324397.0
2021-11-01,1334507.0
2021-12-01,1352280.0
2022-01-01,1382176.0
2022-02-01,1432895.0
2022-03-01,1498920.0
2022-04-01,1563686.0
2022-05-01,1655917.0
2022-06-01,1712525.0
2022-07-01,1801517.0
2022-08-01,1835819.0
2022-09-01,1911469.0
2022-10-01,1996729.0
2022-11-01,2041817.0
2022-12-01,2072392.0
2023-01-01,2147258.0
2023-02-01,2202172.0
2023-03-01,2282881.0
2023-04-01,2358220.0
2023-05-01,2438149.0
2023-06-01,2481055.0
2023-07-01,2529563.0
2023-08-01,2507315.0
2023-09-01,2509400.0
2023-10-01,2495234.0
2023-11-01,2484421.0
2023-12-01,2461875.0
2024-01-01,2471461.0
2024-02-01,2439232.0
2024-03-01,2454759.0
2024-04-01,2424250.0
2024-05-01,2421280.0
2024-06-01,2426227.0
2024-07-01,2406433.0
2024-08-01,2394221.0
2024-09-01,2360339.0
2024-10-01,2337960.0
2024-11-01,2313762.0
2024-12-01,2272042.0
2025-01-01,2262570.0
2025-02-01,2253352.0
2025-03-01,2278575.0
2025-04-01,2278654.0
2025-05-01,2303207.0
2025-06-01,2313431.0
2025-07-01,2319130.0
2025-08-01,2312403.0
2025-09-01,2291779.0
2025-10-01,2269890.0
2025-11-01,2257208.0
2025-12-01,2212600.0
2026-01-01,2213061.0
2026-02-01,2210111.0
2026-03-01,2233349.0
2026-04-01,2219718.0
2026-05-01,2244131.0
