latitude,longitude,elevation,time
-33.44445129856467,-70.65369525924325,556.0,2025-05-18 12:00:28+00:00
-33.44445565715432,-70.65369727090001,556.0,2025-05-18 12:00:29+00:00
-33.44446244649589,-70.65371210686862,555.7999877929688,2025-05-18 12:00:30+00:00
-33.44446688890457,-70.65375074744225,555.7999877929688,2025-05-18 12:00:31+00:00
-33.44448164105415,-70.65377882681787,555.7999877929688,2025-05-18 12:00:32+00:00
-33.444486670196056,-70.65380237996578,555.7999877929688,2025-05-18 12:00:33+00:00
-33.44449563883245,-70.65382903441787,555.7999877929688,2025-05-18 12:00:34+00:00
-33.44450200907886,-70.65385619178414,555.7999877929688,2025-05-18 12:00:35+00:00
-33.44450829550624,-70.65388628281653,555.7999877929688,2025-05-18 12:00:36+00:00
-33.444511061534286,-70.65391880460083,555.7999877929688,2025-05-18 12:00:37+00:00
-33.44451776705682,-70.65394470468163,555.7999877929688,2025-05-18 12:00:38+00:00
-33.44452313147485,-70.65397563390434,555.5999755859375,2025-05-18 12:00:39+00:00
-33.444528579711914,-70.6539998576045,555.5999755859375,2025-05-18 12:00:40+00:00
-33.444533441215754,-70.6540296971798,555.5999755859375,2025-05-18 12:00:41+00:00
-33.44453679397702,-70.6540503166616,555.5999755859375,2025-05-18 12:00:42+00:00
-33.444543834775686,-70.65408141352236,555.5999755859375,2025-05-18 12:00:43+00:00
-33.44455171376467,-70.65410421229899,555.5999755859375,2025-05-18 12:00:44+00:00
-33.444556910544634,-70.65414478071034,555.5999755859375,2025-05-18 12:00:45+00:00
-33.44456470571458,-70.65416858531535,555.5999755859375,2025-05-18 12:00:46+00:00
-33.44456881284714,-70.6542054656893,555.4000244140625,2025-05-18 12:00:47+00:00
-33.44457132741809,-70.65422826446593,555.4000244140625,2025-05-18 12:00:48+00:00
-33.44457493163645,-70.654262797907,555.4000244140625,2025-05-18 12:00:49+00:00
-33.44457786530256,-70.65428559668362,555.4000244140625,2025-05-18 12:00:50+00:00
-33.44457727856934,-70.6543180346489,555.4000244140625,2025-05-18 12:00:51+00:00
-33.44457761384547,-70.65434334799647,555.2000122070312,2025-05-18 12:00:52+00:00
-33.444580463692546,-70.65437654033303,555.2000122070312,2025-05-18 12:00:53+00:00
-33.4445880074054,-70.65440059639513,555.2000122070312,2025-05-18 12:00:54+00:00
-33.444595634937286,-70.65443504601717,555.0,2025-05-18 12:00:55+00:00
-33.44460301101208,-70.65446589142084,554.7999877929688,2025-05-18 12:00:56+00:00
-33.44460745342076,-70.65450159832835,554.7999877929688,2025-05-18 12:00:57+00:00
-33.44461625441909,-70.65452917478979,554.5999755859375,2025-05-18 12:00:58+00:00
-33.444632682949305,-70.65456882119179,554.5999755859375,2025-05-18 12:00:59+00:00
-33.44463938847184,-70.65459706820548,554.5999755859375,2025-05-18 12:01:00+00:00
-33.444649865850806,-70.65463302657008,554.5999755859375,2025-05-18 12:01:01+00:00
-33.44465581700206,-70.6546597648412,554.4000244140625,2025-05-18 12:01:02+00:00
-33.44466377981007,-70.65469396300614,554.4000244140625,2025-05-18 12:01:03+00:00
-33.444664953276515,-70.6547239702195,554.4000244140625,2025-05-18 12:01:04+00:00
-33.4446691442281,-70.65475515089929,554.2000122070312,2025-05-18 12:01:05+00:00
-33.444671239703894,-70.65478205680847,554.2000122070312,2025-05-18 12:01:06+00:00
-33.444678112864494,-70.65481265075505,554.2000122070312,2025-05-18 12:01:07+00:00
-33.44468708150089,-70.65484047867358,554.0,2025-05-18 12:01:08+00:00
-33.44469730742276,-70.65487006679177,554.0,2025-05-18 12:01:09+00:00
-33.4447037614882,-70.65490040928125,554.0,2025-05-18 12:01:10+00:00
-33.444712394848466,-70.65492496825755,554.0,2025-05-18 12:01:11+00:00
-33.44472320750356,-70.65495572984219,554.0,2025-05-18 12:01:12+00:00
-33.4447312541306,-70.6549840606749,554.0,2025-05-18 12:01:13+00:00
-33.44473502598703,-70.65501582808793,554.0,2025-05-18 12:01:14+00:00
-33.44474449753761,-70.65504868514836,554.0,2025-05-18 12:01:15+00:00
-33.444751873612404,-70.65508397296071,554.0,2025-05-18 12:01:16+00:00
-33.444750951603055,-70.65510660409927,554.0,2025-05-18 12:01:17+00:00
-33.44475262798369,-70.65513954497874,553.7999877929688,2025-05-18 12:01:18+00:00
-33.44475321471691,-70.65516578033566,553.7999877929688,2025-05-18 12:01:19+00:00
-33.444758243858814,-70.65519168041646,553.7999877929688,2025-05-18 12:01:20+00:00
-33.44476277008653,-70.65521623939276,553.7999877929688,2025-05-18 12:01:21+00:00
-33.44477022998035,-70.6552350986749,553.7999877929688,2025-05-18 12:01:22+00:00
-33.444769978523254,-70.65526502206922,553.7999877929688,2025-05-18 12:01:23+00:00
-33.44477970153093,-70.65528228878975,553.5999755859375,2025-05-18 12:01:24+00:00
-33.44478749670088,-70.65531288273633,553.5999755859375,2025-05-18 12:01:25+00:00
-33.44479386694729,-70.65533442422748,553.5999755859375,2025-05-18 12:01:26+00:00
-33.4448020812124,-70.65536367706954,553.5999755859375,2025-05-18 12:01:27+00:00
-33.44480937346816,-70.65539016388357,553.5999755859375,2025-05-18 12:01:28+00:00
-33.444821359589696,-70.65541581250727,553.5999755859375,2025-05-18 12:01:29+00:00
-33.44482580199838,-70.65544540062547,553.5999755859375,2025-05-18 12:01:30+00:00
-33.444836530834436,-70.6554676964879,553.5999755859375,2025-05-18 12:01:31+00:00
-33.444840805605054,-70.65550340339541,553.4000244140625,2025-05-18 12:01:32+00:00
-33.4448470082134,-70.65552804619074,553.4000244140625,2025-05-18 12:01:33+00:00
-33.44486150890589,-70.65555537119508,553.4000244140625,2025-05-18 12:01:34+00:00
-33.44486687332392,-70.65558755770326,553.4000244140625,2025-05-18 12:01:35+00:00
-33.44487483613193,-70.65561312250793,553.4000244140625,2025-05-18 12:01:36+00:00
-33.44488020054996,-70.65564665012062,553.4000244140625,2025-05-18 12:01:37+00:00
-33.44488556496799,-70.65567632205784,553.4000244140625,2025-05-18 12:01:38+00:00
-33.444888750091195,-70.65570959821343,553.4000244140625,2025-05-18 12:01:39+00:00
-33.4449022449553,-70.65573734231293,553.4000244140625,2025-05-18 12:01:40+00:00
